AREA (KM2)	VOLUME (HM3)	VOLUME (M3)	Afluência (m³/s)	Defluência (m³/s)
83.4572385	3253.831579	3253831579	1014.6	45.5
85.08206468	3335.343207	3335343207	957.75	0
86.61004876	3412.199868	3412199868	1054.99	147
88.14150171	3489.422623	3489422623	1222.02	302
89.48076068	3557.106867	3557106867	1265.47	451
91.30262073	3649.403156	3649403156	1152.03	24.6
93.22584866	3747.103791	3747103791	1210.3	0
94.3280925	3803.219023	3803219023	1271.39	570
95.53337944	3864.678424	3864678424	1147.39	382
96.37465957	3907.63625	3907636250	1050.25	519
97.2593415	3952.862296	3952862296	953.49	394
98.66475315	4024.816354	4024816354	908.09	23.6
99.79630248	4082.84339	4082843390	825.85	113
100.7435332	4131.481674	4131481674	758.59	166
100.51093	4119.532703	4119532703	664.75	810
100.3367452	4110.586974	4110586974	723.09	832
100.1048555	4098.680647	4098680647	618.98	764
99.79630248	4082.84339	4082843390	581.6	775
99.66153791	4075.928177	4075928177	641.39	726
100.3947813	4113.567361	4113567361	658.26	199
101.2683841	4158.456125	4158456125	688.79	144
101.2099651	4155.452854	4155452854	704.77	741
101.2489083	4157.454865	4157454865	733.19	709
101.3463159	4162.462865	4162462865	710.53	650
101.2683841	4158.456125	4158456125	664.5	713
101.1904978	4154.452103	4154452103	686.62	735
101.7366574	4182.537369	4182537369	743	404
102.5207597	4222.89078	4222890780	654.85	167
102.9539638	4245.201606	4245201606	576.45	304
103.3489879	4265.55606	4265556060	545.69	298
104.1424791	4306.470848	4306470848	505.02	9.65
104.1225857	4305.444627	4305444627	498.62	511
103.9238107	4295.191877	4295191877	445.16	569
104.1424791	4306.470848	4306470848	449.23	313
104.4212878	4320.856016	4320856016	395	221
104.3017292	4314.686812	4314686812	384	459
103.6856601	4282.911267	4282911267	312	696
102.9539638	4245.201606	4245201606	300	758
102.0693433	4199.654232	4199654232	284	839
101.0932039	4149.450896	4149450896	292	897
101.0348616	4146.452209	4146452209	274	310
101.0348616	4146.452209	4146452209	242	242
100.1627897	4101.654946	4101654946	256	801
99.41162766	4063.107556	4063107556	218	689
99.56536217	4070.993798	4070993798	239	142
98.58839249	4020.903501	4020903501	218	834
97.52405471	3966.405011	3966405011	176	845
97.58085022	3969.311277	3969311277	226	190
97.67556532	3974.158394	3974158394	212.61	153
98.01711889	3991.642612	3991642612	241.5	15
97.20268845	3949.964539	3949964539	190.46	715
96.6939406	3923.952187	3923952187	177.13	499
95.75717153	3876.101047	3876101047	170.68	762
94.71621739	3822.998994	3822998994	154.69	804
94.3280925	3803.219023	3803219023	194.36	452
94.16212517	3794.764092	3794764092	178.79	284
